Issue_Type	Issue_ID	Chromosome	Accession_1	Accession_2	Report_Type	Summary	Status	Status_Text	Description	Experiment_Type	Update	External_Information_Type	Resolution_Summary	Resolution_Information	Patch_Type	Fixed_in_Version	Affected_Version	Patch_GenBank_Accession	Patch_RefSeq_Accession	Patch_Region_Name	Shortform_Location_Information
Gap	HG-508	20	AL137028.9	AL137028.9	TPF Analysis	"Chromosome 20 assembly gap (AL137028.9 - AL137028.9)"	Awaiting Exptl Data	"WI2-1013D9_selected_for_sequencing\n2012_06_28: WI2-1013D9 has completed sequence production and a draft assembly has been submitted\nAccession for WI2-1013D9: FO082808\nWI2-1013D9 has been cancelled\n17-DEC-14: ABC9-41279100E15 has entered the sequencing pipeline"	"The GRCh37 component AL137028.9 is missing euchromatic sequence leading into the telomere. Clones will be selected to extend from this component until telomeric repeats are identified."	Clone Sequencing	2015-08-11T05:55:31.000-0400	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000682.1:@:NC_000020.10:@:CHROMOSOME:@:62906196:@:62965520:@:9:@@@:AL137028:::9:@@@:AL137028:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000682.2:@:NC_000020.11:@:CHROMOSOME:@:64274843:@:64334167:@:9:@@@:AL137028:::9:@@@:AL137028:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Localization Problem	HG-662	20	AL837517.14	AL837517.14	Genomic Alignment- single clone	"Should unplaced contig NT_113914 be retained in the assembly?"	Stalled	"At present there is no further information to assist with the placement of this contig."	"Determine evidence for keeping NT_113914 as an unplaced contig in the assembly."	na	2015-08-06T09:42:29.000-0400	na	Unresolved	"na"	na	na	Build 36	na	na	na	MAPPED:@:GL000198.1:@:NT_113914.1:@:UNLOC_SCAFFOLD:@:1:@:90085:@:14:@@@:AL837517:::14:@@@:AL837517:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000682.2:@:NC_000020.11:@:CHROMOSOME:@:28958247:@:29048331:@:14:@@@:AL837517:::14:@@@:AL837517:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-8	20	AL049634.8	AL138804.16	End Sequence Profile	"Hsa20- SIRPB1 problem region"	Resolved	"none"	"ESP analysis suggests the reference chromosome contains an insertion between AL049634.8 and AL138804.16"	Clone Sequencing	2015-04-27T09:47:31.000-0400	na	GRC Resolved- No Change	"Optical mapping shows that this region of the genome exhibits variation,there is no problem with the current representation of this region"	na	GRCh39	na	na	na	na	MAPPED:@:CM000682.1:@:NC_000020.10:@:CHROMOSOME:@:1476885:@:1632306:@:8:@@@:AL049634:::16:@@@:AL138804:@:component:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000682.2:@:NC_000020.11:@:CHROMOSOME:@:1496239:@:1651660:@:8:@@@:AL049634:::16:@@@:AL138804:@:component:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-844	20	CR383701.1	CR383702.1	TPF Analysis	"Split finish clone RP11-503P21 to be removed from the TPF"	Resolved	"none"	"Split finish clone RP11-503P21 to be removed from the TPF"	Clone Sequencing	2014-06-11T09:07:52.000-0400	na	GRC Resolved by Experimental Method	"In order to remove split finish clone RP11-503P21 from the TPF, CR383702.1 (RP11-503P21_B) was removed and replaced with fosmid WI2-3344O2."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000682.1:@:NC_000020.10:@:CHROMOSOME:@:31205412:@:31327997:@:1:@@@:CR383701:::1:@@@:CR383702:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000682.2:@:NC_000020.11:@:CHROMOSOME:@:32617510:@:32740193:@:1:@@@:CR383701:::1:@@@:CR383702:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-850	20	AL390211.1	AL390212.1	TPF Analysis	"Split finish clone RP1-29M10 to be removed from TPF"	Resolved	"none"	"Split finish clone RP1-29M10 to be removed from TPF"	na	2013-08-01T17:25:46.000-0400	na	GRC Resolved by Electronic Means	"AL022342 inserted into TPF in place of AL390211, AL049540, AL390212"	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000682.1:@:NC_000020.10:@:CHROMOSOME:@:45754032:@:45881673:@:1:@@@:AL390211:::1:@@@:AL390212:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000682.2:@:NC_000020.11:@:CHROMOSOME:@:47125293:@:47252929:@:1:@@@:AL390211:::1:@@@:AL390212:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-851	20	AL391692.1	AL391693.1	TPF Analysis	"Split finish clone RP13-218F6 to be removed from TPF"	Resolved	"none"	"Split finish clone RP13-218F6 to be removed from TPF"	na	2012-10-25T09:18:29.000-0400	na	GRC Resolved by Electronic Means	"AL391095 inserted into TPF in place of AL391692, AL080249, AL391693"	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000682.1:@:NC_000020.10:@:CHROMOSOME:@:36959382:@:37072430:@:1:@@@:AL391692:::1:@@@:AL391693:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000682.2:@:NC_000020.11:@:CHROMOSOME:@:38330880:@:38443787:@:1:@@@:AL391692:::1:@@@:AL391693:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-874	20	AL389874.1	AL389875.1	TPF Analysis	"Split finish clone RP11-563A22 to be removed from TPF"	Resolved	"none"	"Split finish clone RP11-563A22 to be removed from TPF"	Clone Sequencing	2015-07-23T17:18:48.000-0400	na	GRC Resolved by Electronic Means	"RP11-563A22 (FO393401.1) inserted in place of the three components. RP11-563A22 is now represented correctly in the TPF."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000682.1:@:NC_000020.10:@:CHROMOSOME:@:33997404:@:34182471:@:1:@@@:AL389874:::1:@@@:AL389875:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000682.2:@:NC_000020.11:@:CHROMOSOME:@:35409501:@:35594549:@:1:@@@:AL389874:::1:@@@:AL389875:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-944	20	AL160413.7	AL160413.7	Genomic Alignment- assembly	"Missing sequence from clone RP5-837G17?"	Resolved	"none"	"Alignment to HuRef suggests that AL160413.7 (RP5-837G17) may be missing ~40 kb of sequence."	na	2015-12-15T10:34:05.000-0500	SAB Decision	GRC Resolved by Electronic Means	"No evidence of misassembly. No optical map data to support an alternate haplotype within the insertion. However since the insertion conatins decoy sequence ABC8-714822F8 (AC232301.2) and ABC7-42749900J23 (AC232307.2) were added to the TPF (contained within AL160413.7) as an fix patch."	GRCh37:FIX	GRCh37.p12,GRCh38	GRCh37	KB663608.1	NW_004504304.1	REGION101	MAPPED:@:CM000682.1:@:NC_000020.10:@:CHROMOSOME:@:54104552:@:54161252:@:7:@@@:AL160413:::7:@@@:AL160413:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:KB663608.1:@:NW_004504304.1:@:ALT_SCAFFOLD:@:125946:@:224126:@:7:@@@:AL160413:::7:@@@:AL160413:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000682.2:@:NC_000020.11:@:CHROMOSOME:@:55488014:@:55586194:@:7:@@@:AL160413:::7:@@@:AL160413:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1093	21	FP565260.4	CR381653.11	TPF Analysis	"A clone set on the P arm of chromosome 21 has multiple false gaps. The same set contains phase-1 clones and possible mouse clones."	Stalled	"Due to the repetitive nature of this region it is difficult to accurately select clones that match this region to close gaps. It is also difficult to assess if clones overlap."	"A clone set on the P arm of chromosome 21 has multiple false gaps, which were inserted to facilitate clone entry into the tile path. The same set contains phase-1 clones and possible mouse clones. See PMID: 17895424 for more information.  The clones associated with this ticket are (unordered); FP565260.4  AC079801.2  CU633969.4  CU633967.8  FP236315.5  CU633971.4  CU639417.17  CU633906.4  FP236240.8  CU638689.3  FP475955.4  CU634019.4  CU638690.5  CU633904.6  FP236241.3  CU633980.13  FP236243.10  FP671120.18 FP236383.15"	na	2015-11-25T10:15:50.000-0500	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:10084921:@:45673379:@:4:@@@:FP565260:::11:@@@:CR381653:@:alignment:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:5010001:@:9377143:@:4:@@@:FP565260:::11:@@@:CR381653:@:curated:@:curated:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1094	21	CR381572.5	CR381670.5	TPF Analysis	"Chr. 21 Gap Problem"	Stalled	"Due to the repetitive nature of this region it is difficult to accurately select clones that match this region"	"There is a gap in the assembly between components CR381572.5 and CR381670.5."	Clone Sequencing	2015-08-06T09:11:02.000-0400	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:9411194:@:9775437:@:5:@@@:CR381572:::5:@@@:CR381670:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:8522361:@:8886604:@:5:@@@:CR381572:::5:@@@:CR381670:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1095	21	CR381670.5	CR392039.8	TPF Analysis	"Chr. 21 Gap Problem"	Stalled	"Due to the repetitive nature of this gap, there are no available clones for selection."	"There is a gap in the assembly between components CR381670.5 and CR392039.8."	Clone Sequencing	2015-08-06T09:10:18.000-0400	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:9645549:@:9983506:@:5:@@@:CR381670:::8:@@@:CR392039:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:8756716:@:9144673:@:5:@@@:CR381670:::8:@@@:CR392039:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1096	21	CR381535.11	CR381653.11	TPF Analysis	"Chr. 21 Gap Problem"	Stalled	"Due to the repetitive nature of this region it is difficult to accurately select clones that match this region"	"There is a gap in the assembly between components CR381535.11 and CR381653.11."	na	2015-08-06T09:09:43.000-0400	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:9983507:@:10215976:@:11:@@@:CR381535:::11:@@@:CR381653:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:9144674:@:9377143:@:11:@@@:CR381535:::11:@@@:CR381653:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1097	21	CR381653.11	CR382285.2	TPF Analysis	"Chr. 21 Gap Problem"	Resolved	"none"	"There is a gap in the assembly between components CR381653.11 and CR382285.2."	Clone Sequencing	2015-07-23T17:19:10.000-0400	na	GRC-Gap Update	"This gap has changed and is now to be dealt with in tickets HG-1517 and HG-1613"	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:10084921:@:10544841:@:11:@@@:CR381653:::2:@@@:CR382285:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:9246088:@:10066813:@:11:@@@:CR381653:::2:@@@:CR382285:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1191	21	AF130247.2	AF130247.2	Genomic Alignment- single clone	"NOVEL patch created to capture sequence from AC238684.2 not represented in reference chromosome"	Resolved	"none"	"NOVEL patch GL383578.1 created to capture sequence from AC238684.2 not represented in reference chromosome"	na	2016-01-04T12:53:24.000-0500	na	GRC Resolved by Electronic Means	"NOVEL patch GL383578.1 created to capture ~12.6 kb of sequence from AC238684.2 not represented in reference chromosome"	GRCh38:ALT	GRCh37.p2	GRCh37	GL383578.2	NW_003315967.2	REGION41	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:15796462:@:15847792:@:2:@@@:AF130247:::2:@@@:AF130247:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:GL383578.1:@:NW_003315967.1:@:ALT_SCAFFOLD:@:1:@:63917:@:2:@@@:AF130247:::2:@@@:AF130247:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:14424141:@:14475471:@:2:@@@:AF130247:::2:@@@:AF130247:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:GL383578.2:@:NW_003315967.2:@:ALT_SCAFFOLD:@:1:@:63917:@:2:@@@:AF130247:::2:@@@:AF130247:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1192	21	AP000705.2	AP000657.3	Genomic Alignment- single clone	"NOVEL patch created to capture sequence from AC203635.2 not represented in reference chromosome"	Resolved	"none"	"NOVEL patch GL383579.1 created to capture sequence from AC203635.2 not represented in reference chromosome"	na	2015-07-23T17:19:04.000-0400	na	GRC Resolved by Electronic Means	"NOVEL patch GL383579.1 created to capture 6658 bp of sequence from AC203635.2 not represented in reference chromosome"	GRCh38:ALT	GRCh37.p2	GRCh37	GL383579.2	NW_003315968.2	REGION42	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:23474793:@:23669288:@:2:@@@:AP000705:::3:@@@:AP000657:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:GL383579.1:@:NW_003315968.1:@:ALT_SCAFFOLD:@:1:@:201198:@:2:@@@:AP000705:::3:@@@:AP000657:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:22102474:@:22296968:@:2:@@@:AP000705:::3:@@@:AP000657:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:GL383579.2:@:NW_003315968.2:@:ALT_SCAFFOLD:@:1:@:201197:@:2:@@@:AP000705:::3:@@@:AP000657:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1193	21	AP000280.3	AP000280.3	Genomic Alignment- single clone	"NOVEL patch created to capture sequence from AC203640.2 not represented in reference chromosome"	Resolved	"none"	"NOVEL patch GL383580.1 created to capture sequence from AC203640.2 not represented in reference chromosome"	na	2015-07-23T17:19:05.000-0400	na	GRC Resolved by Electronic Means	"NOVEL patch GL383580.1 created to capture 5791bp of sequence from AC203640.2 not represented in reference chromosome"	GRCh38:ALT	GRCh37.p2	GRCh37	GL383580.2	NW_003315969.2	REGION43	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:34141390:@:34210247:@:3:@@@:AP000280:::3:@@@:AP000280:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:GL383580.1:@:NW_003315969.1:@:ALT_SCAFFOLD:@:1:@:74652:@:3:@@@:AP000280:::3:@@@:AP000280:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:32769079:@:32837937:@:3:@@@:AP000280:::3:@@@:AP000280:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:GL383580.2:@:NW_003315969.2:@:ALT_SCAFFOLD:@:1:@:74653:@:3:@@@:AP000280:::3:@@@:AP000280:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1194	21	AP000300.1	AP000302.1	Genomic Alignment- single clone	"NOVEL patch created to capture sequence from AC207981.3 not represented in reference chromosome"	Resolved	"none"	"NOVEL patch GL383581.1 created to capture sequence from AC207981.3 not represented in reference chromosome"	na	2016-01-04T12:53:25.000-0500	na	GRC Resolved by Electronic Means	"NOVEL patch GL383581.1 created to capture  9.5 kb sequence from AC207981.3 not represented in reference chromosome that does not align to GRCh37 NC_000021.8 component AP000301.1."	GRCh38:ALT	GRCh37.p2	GRCh37	GL383581.2	NW_003315970.2	TMEM50B	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:34777735:@:34884866:@:1:@@@:AP000300:::1:@@@:AP000302:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:GL383581.1:@:NW_003315970.1:@:ALT_SCAFFOLD:@:1:@:116690:@:1:@@@:AP000300:::1:@@@:AP000302:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:33405429:@:33512559:@:1:@@@:AP000300:::1:@@@:AP000302:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::MAPPED:@:GL383581.2:@:NW_003315970.2:@:ALT_SCAFFOLD:@:1:@:116689:@:1:@@@:AP000300:::1:@@@:AP000302:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Clone Problem	HG-1199	21	CU633980.11	CU633980.11	User Report	"Is CU633980.11 contaminated with mouse sequence?"	Resolved	"none"	"Possible mouse contamination in CU633980.11"	na	2015-07-23T17:19:03.000-0400	na	GRC Resolved by Electronic Means	"Mouse contamination removed"	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:35746539:@:35868057:@:11:@@@:CU633980:::11:@@@:CU633980:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:7743701:@:7865746:@:11:@@@:CU633980:::11:@@@:CU633980:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Clone Problem	HG-1202	21	FP236316.3	FP236316.3	TPF Analysis	"Chr. 21 component FP236316 appears to be contaminated with pig sequence"	Resolved	"none"	"Chr. 21 component FP236316 appears to be contaminated with pig sequence"	na	2013-03-12T08:20:22.000-0400	na	GRC Resolved by Electronic Means	"FP236316 has been removed from the TPF as it contains pig sequence not human."	na	GRCh38	GRCh37	na	na	na	NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Localization Problem	HG-1429	21	AC160844.2	AC160844.2	TPF Analysis	"Can unlocalized scaffold  NT_113950 be localized for GRCh38?"	Resolved	"none"	"Chr.21 unlocalized scaffold NT_113950.2 (GL000210.1), comprised of component AC160844.2, needs to be localized."	na	2015-07-23T17:19:06.000-0400	na	GRC Resolved by Electronic Means	"AC160844 has been added to the TPF adjacent to FP885874."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:GL000210.1:@:NT_113950.2:@:UNLOC_SCAFFOLD:@:1:@:27682:@:2:@@@:AC160844:::2:@@@:AC160844:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:43262581:@:43290582:@:2:@@@:AC160844:::2:@@@:AC160844:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Variation	HG-1461	21	AL050303.4	AF130358.2	TPF Analysis	"Chr. 21 CHORI-17 Pathway"	Awaiting Exptl Data	"We await the finishing of CH17 clones picked for this region."	"Several clones have been selected for sequencing that align near the AL050303.4 - AF130358.2 region of the Chr. 21 reference."	Clone Sequencing	2015-12-18T11:15:54.000-0500	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:15018358:@:15712914:@:4:@@@:AL050303:::2:@@@:AF130358:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:13646037:@:14340593:@:4:@@@:AL050303:::2:@@@:AF130358:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1517	21	CR381653.11	CR382332.14	TPF Analysis	"There is a gap in the assembly between components CR381653.11 and CR382332.14"	Awaiting Exptl Data	"25-JUN-13: CH17-305H20 is in active finishing\nAccession for CH17-305H20: FO681546"	"There is a gap in the assembly between components CR381653.11 and CR382332.14"	Clone Sequencing	2015-08-06T04:41:41.000-0400	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:10084921:@:10215976:@:11:@@@:CR381653:::14:@@@:CR382332:@:curated:@:curated:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:9246088:@:9377143:@:11:@@@:CR381653:::14:@@@:CR382332:@:curated:@:curated:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1529	21	FP565260.4	FP565790.5	TPF Analysis	"Update SHORT ARM gap size on TPF"	Resolved	"none"	"Short arm gap size on chr. 21 TPF needs to be adjusted to account for updates made to the short arm."	na	2015-07-23T17:19:10.000-0400	na	GRC Resolved by Electronic Means	"the short arm gap size has been updated to reflect the new sequence that has been added"	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:11186144:@:45673379:@:4:@@@:FP565260:::5:@@@:FP565790:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:5010001:@:10274327:@:4:@@@:FP565260:::5:@@@:FP565790:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Missing sequence	HG-1583	21	CR381653.11	CR382285.2	User Report	"Issue reported from Web Site: Missing copy of segmental duplication"	Resolved	"none"	"The GRCh37 assembly is missing copies of an interchromosomal duplication originating from chr. 4q35.2."	na	2015-07-23T17:19:05.000-0400	na	GRC Resolved by Electronic Means	"The fully reconstructed copy of this duplication has been added to the chromosome 21 tile path. For more information about the duplication, see HG-1602."	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:10084921:@:10544841:@:11:@@@:CR381653:::2:@@@:CR382285:@:component:@:component:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:9246088:@:10066813:@:11:@@@:CR381653:::2:@@@:CR382285:@:component:@:component:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Missing sequence	HG-159	21	NONE	NONE	RefSeq Report	"GeneID: 85317 (BAGE4), missing in assembly"	Stalled	"The BAGE 4 gene has no significant hits with any reference sequence currently available"	"The current reference assembly under represents the BAGE gene family."	na	2015-08-11T06:53:10.000-0400	na	Unresolved	"na"	na	na	Build 36	na	na	na	NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
GRC Housekeeping	HG-1605	21	ABBA01057276.1	ABBA01057276.1	TPF Analysis	"HuRef sequence ABBA01057276 to be replaced with finished sequence or assembled short reads when available"	Resolved	"none"	"HuRef sequence ABBA01057276 to be replaced with finished sequence or assembled short reads when available"	na	2015-07-23T17:18:55.000-0400	na	GRC Resolved by Electronic Means	"mini-contig KF510536.1 corrects the base error"	na	GRCh38	GRCh37	na	na	na	MAPPED:@:CM000683.1:@:NC_000021.8:@:CHROMOSOME:@:32194788:@:32244911:@:1:@@@:ABBA01057276:::1:@@@:ABBA01057276:@:alignment:@:alignment:@:GRCh37.p13:@:GCA_000001405.14:@:GCF_000001405.25:@:old::@@::MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:30822470:@:30872592:@:1:@@@:ABBA01057276:::1:@@@:ABBA01057276:@:alignment:@:alignment:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
Gap	HG-1613	21	CR382332.14	AC124864.3	TPF Analysis	"There is a gap in the chromosome between components CR382332.14 and AC124864.3"	Stalled	"Due to the repetitive nature of this region it is difficult to accurately select clones that match this region"	"There is a gap in the chromosome between components CR382332.14 and AC124864.3\n\nFor GRCh38, CR382332.14 has been removed from the TPF the new Accession1 is CR381653.11"	na	2015-07-23T17:19:07.000-0400	na	Unresolved	"na"	na	na	GRCh37	na	na	na	MAPPED:@:CM000683.2:@:NC_000021.9:@:CHROMOSOME:@:9246088:@:9693940:@:14:@@@:CR382332:::3:@@@:AC124864:@:curated:@:curated:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest::@@::NOT MAPPED:@:na:@:na:@:na:@:na:@:na:@:na:@@@:na:::na:@@@:na:@:na:@:na:@:GRCh38.p6:@:GCA_000001405.21:@:GCF_000001405.32:@:latest
